HugoSymbol,RoleInCancer,Kinase_PPtase,TF,Location
JAK1,Oncogenes,Kinases,Other,Other
JAK1,TSGs,Kinases,Other,Other
JAK2,Oncogenes,Kinases,Other,Other
JAK3,Oncogenes,Kinases,Other,Other
JAZF1,Oncogenes,Other,TFs,Other
JUN,Oncogenes,Other,TFs,Other
KAT6A,Oncogenes,Other,Other,Other
KAT6A,TSGs,Other,Other,Other
KAT6B,TSGs,Other,TFs,Other
KAT7,Oncogenes,Other,Other,Other
KAT7,TSGs,Other,Other,Other
KCNJ5,Oncogenes,Other,Other,Other
KDM5A,Oncogenes,Other,TFs,Other
KDM5A,TSGs,Other,TFs,Other
KDM5C,TSGs,Other,Other,Other
KDM6A,Oncogenes,Other,TFs,Other
KDM6A,TSGs,Other,TFs,Other
KDR,Oncogenes,Kinases,Other,Receptors
KDSR,Oncogenes,Other,Other,Other
KEAP1,TSGs,Other,Other,Other
KIAA1549,Other,Other,Other,Other
KIF5B,Other,Other,Other,Other
KIT,Oncogenes,Kinases,Other,Receptors
KIT,TSGs,Kinases,Other,Receptors
KLF4,Oncogenes,Other,TFs,Other
KLF4,TSGs,Other,TFs,Other
KLF6,Oncogenes,Other,TFs,Other
KLF6,TSGs,Other,TFs,Other
KLK2,Other,Other,Other,Other
KMT2A,Oncogenes,Other,Other,Other
KMT2C,TSGs,Other,TFs,Other
KMT2D,Oncogenes,Other,Other,Other
KMT2D,TSGs,Other,Other,Other
KNL1,TSGs,Other,Other,Other
KNSTRN,Oncogenes,Other,Other,Other
KRAS,Oncogenes,Other,Other,Other
KTN1,Other,Other,Other,Other
LARP4B,TSGs,Other,Other,Other
LASP1,Other,Other,Other,Other
LATS1,TSGs,Kinases,Other,Other
LATS2,TSGs,Kinases,Other,Other
LCK,Oncogenes,Kinases,Other,Other
LCP1,Other,Other,Other,Other
LEF1,Oncogenes,Other,TFs,Other
LEF1,TSGs,Other,TFs,Other
LEPROTL1,TSGs,Other,Other,Other
LHFPL6,Other,Other,Other,Other
LIFR,TSGs,Other,Other,Receptors
LMNA,Other,Other,Other,Other
LMO1,Oncogenes,Other,Other,Other
LMO2,Oncogenes,Other,TFs,Other
LPP,Oncogenes,Other,Other,Other
LPP,TSGs,Other,Other,Other
LRIG3,TSGs,Other,Other,Receptors
LRP1B,TSGs,Other,Other,Receptors
LSM14A,Other,Other,Other,Other
LYL1,Oncogenes,Other,TFs,Other
LYN,Oncogenes,Kinases,Other,Other
LZTR1,TSGs,Other,Other,Other
MACC1,Oncogenes,Other,Other,Other
MAF,Oncogenes,Other,TFs,Other
MAF,TSGs,Other,TFs,Other
MAFB,Oncogenes,Other,TFs,Other
MAFB,TSGs,Other,TFs,Other
MALAT1,Oncogenes,Other,Other,Other
MALAT1,TSGs,Other,Other,Other
MALT1,Oncogenes,Other,Other,Other
MAML2,Oncogenes,Other,Other,Other
MAP2K1,Oncogenes,Kinases,Other,Other
MAP2K2,Oncogenes,Kinases,Other,Other
MAP2K4,Oncogenes,Kinases,Other,Other
MAP2K4,TSGs,Kinases,Other,Other
MAP3K1,Oncogenes,Kinases,Other,Other
MAP3K1,TSGs,Kinases,Other,Other
MAP3K13,Oncogenes,Kinases,Other,Other
MAP3K13,TSGs,Kinases,Other,Other
MAPK1,Oncogenes,Kinases,Other,Other
MAX,TSGs,Other,TFs,Other
MB21D2,Other,Other,Other,Other
MDM2,Oncogenes,Other,Other,Other
MDM2,TSGs,Other,Other,Other
MDM4,Oncogenes,Other,Other,Other
MDS2,Oncogenes,Other,Other,Other
MECOM,Oncogenes,Other,TFs,Other
MED12,TSGs,Other,Other,Other
MEN1,Oncogenes,Other,Other,Other
MEN1,TSGs,Other,Other,Other
MET,Oncogenes,Kinases,Other,Receptors
MGMT,TSGs,Other,Other,Other
MITF,Oncogenes,Other,TFs,Other
MITF,TSGs,Other,TFs,Other
MLF1,TSGs,Other,Other,Other
MLH1,TSGs,Other,Other,Other
MLLT1,Oncogenes,Other,Other,Other
MLLT10,Oncogenes,Other,Other,Other
MLLT11,Oncogenes,Other,Other,Other
MLLT3,Oncogenes,Other,Other,Other
MLLT6,Other,Other,Other,Other
MN1,Oncogenes,Other,Other,Other
MN1,TSGs,Other,Other,Other
MNX1,Other,Other,TFs,Other
MPL,Oncogenes,Other,Other,Other
MRTFA,Oncogenes,Other,Other,Other
MRTFA,TSGs,Other,Other,Other
MSH2,TSGs,Other,Other,Other
MSH6,TSGs,Other,Other,Other
MSI2,Oncogenes,Other,Other,Other
MSN,Other,Other,Other,Other
MTCP1,Oncogenes,Other,Other,Other
MTOR,Oncogenes,Kinases,Other,Other
MUC1,Oncogenes,Other,Other,Receptors
MUC1,TSGs,Other,Other,Receptors
MUC16,Oncogenes,Other,Other,Receptors
MUC4,Oncogenes,Other,Other,Receptors
MUTYH,TSGs,Other,Other,Other
MYB,Oncogenes,Other,TFs,Other
MYC,Oncogenes,Other,TFs,Other
MYCL,Oncogenes,Other,TFs,Other
MYCN,Oncogenes,Other,TFs,Other
MYD88,Oncogenes,Other,Other,Other
MYH11,Oncogenes,Other,Other,Other
MYH9,TSGs,Other,Other,Other
MYO5A,Other,Other,Other,Other
MYOD1,Oncogenes,Other,TFs,Other
N4BP2,TSGs,Other,Other,Other
NAB2,TSGs,Other,Other,Other
NACA,Other,Other,Other,Other
NBEA,Other,Other,Other,Other
NBN,TSGs,Other,Other,Other
NCKIPSD,Other,Other,Other,Other
NCOA1,Oncogenes,Other,Other,Other
NCOA2,Oncogenes,Other,Other,Other
NCOA4,Oncogenes,Other,Other,Other
NCOA4,TSGs,Other,Other,Other
NCOR1,TSGs,Other,TFs,Other
NCOR2,TSGs,Other,TFs,Other
NDRG1,TSGs,Other,Other,Other
NF1,TSGs,Other,Other,Other
NF2,TSGs,Other,Other,Other
NFATC2,Oncogenes,Other,TFs,Other
NFATC2,TSGs,Other,TFs,Other
NFE2L2,Oncogenes,Other,TFs,Other
NFE2L2,TSGs,Other,TFs,Other
NFIB,Oncogenes,Other,TFs,Other
NFKB2,Oncogenes,Other,TFs,Other
NFKB2,TSGs,Other,TFs,Other
NFKBIE,TSGs,Other,Other,Other
NIN,Other,Other,Other,Other
NONO,Other,Other,Other,Other
NOTCH1,Oncogenes,Other,TFs,Other
NOTCH1,TSGs,Other,TFs,Other
NOTCH2,Oncogenes,Other,Other,Other
NOTCH2,TSGs,Other,Other,Other
NPM1,Oncogenes,Other,Other,Other
NPM1,TSGs,Other,Other,Other
NR4A3,Oncogenes,Other,TFs,Other
NR4A3,TSGs,Other,TFs,Other
NRAS,Oncogenes,Other,Other,Other
NRG1,TSGs,Other,Other,Receptors
NSD1,Oncogenes,Other,Other,Other
NSD2,Oncogenes,Other,Other,Other
NSD3,Oncogenes,Other,Other,Other
NT5C2,Oncogenes,Other,Other,Other
NTHL1,TSGs,Other,Other,Other
NTRK1,Oncogenes,Kinases,Other,Receptors
NTRK1,TSGs,Kinases,Other,Receptors
NTRK3,Oncogenes,Kinases,Other,Receptors
NTRK3,TSGs,Kinases,Other,Receptors
NUMA1,Other,Other,Other,Other
NUP214,Oncogenes,Other,Other,Other
NUP98,Oncogenes,Other,Other,Other
NUP98,TSGs,Other,Other,Other
NUTM1,Oncogenes,Other,Other,Other
NUTM2B,Other,Other,Other,Other
NUTM2D,Other,Other,Other,Other
OLIG2,Oncogenes,Other,TFs,Other
OMD,Other,Other,Other,Other
P2RY8,Oncogenes,Other,Other,Receptors
PABPC1,Oncogenes,Other,Other,Other
PABPC1,TSGs,Other,Other,Other
PAFAH1B2,Other,Other,Other,Other
PALB2,TSGs,Other,Other,Other
PATZ1,Oncogenes,Other,TFs,Other
PATZ1,TSGs,Other,TFs,Other
PAX3,Other,Other,TFs,Other
PAX3,Oncogenes,Other,TFs,Other
PAX5,Oncogenes,Other,TFs,Other
PAX5,TSGs,Other,TFs,Other
PAX7,Oncogenes,Other,TFs,Other
PAX8,Oncogenes,Other,TFs,Other
PBRM1,TSGs,Other,Other,Other
PBX1,Oncogenes,Other,TFs,Other
PCBP1,Other,Other,Other,Other
PCM1,Oncogenes,Other,Other,Other
PCM1,TSGs,Other,Other,Other
PDCD1LG2,Oncogenes,Other,Other,Other
PDE4DIP,Other,Other,Other,Other
PDGFB,Oncogenes,Other,Other,Other
PDGFRA,Oncogenes,Kinases,Other,Other
PDGFRB,Oncogenes,Kinases,Other,Other
PER1,TSGs,Other,Other,Other
PHF6,TSGs,Other,Other,Other
PHOX2B,TSGs,Other,TFs,Other
PICALM,Other,Other,Other,Other
PIK3CA,Oncogenes,Kinases,Other,Other
PIK3CB,Oncogenes,Other,Other,Other
PIK3R1,Oncogenes,Other,Other,Other
PIK3R1,TSGs,Other,Other,Other
PIM1,Oncogenes,Kinases,Other,Other
PLAG1,Oncogenes,Other,TFs,Other
PLCG1,Oncogenes,Other,Other,Other
PML,Oncogenes,Other,Other,Other
PML,TSGs,Other,Other,Other
PMS1,TSGs,Other,Other,Other
PMS2,TSGs,Other,Other,Other
POLD1,TSGs,Other,Other,Other
POLE,TSGs,Other,Other,Other
POLG,TSGs,Other,Other,Other
POLQ,Oncogenes,Other,Other,Other
POLQ,TSGs,Other,Other,Other
POT1,TSGs,Other,Other,Other
POU2AF1,Oncogenes,Other,Other,Other
POU5F1,Oncogenes,Other,TFs,Other
PPARG,Oncogenes,Other,TFs,Other
PPARG,TSGs,Other,TFs,Other
PPFIBP1,Other,Other,Other,Other
PPM1D,Oncogenes,Phosphatases,Other,Other
PPP2R1A,Oncogenes,Other,Other,Other
PPP2R1A,TSGs,Other,Other,Other
PPP6C,TSGs,Phosphatases,Other,Other
PRCC,Oncogenes,Other,Other,Other
PRDM1,TSGs,Other,TFs,Other
PRDM16,Oncogenes,Other,TFs,Other
PRDM2,TSGs,Other,TFs,Other
PREX2,Oncogenes,Other,Other,Other
PRF1,TSGs,Other,Other,Other
PRKACA,Oncogenes,Kinases,Other,Other
PRKAR1A,Oncogenes,Other,Other,Other
PRKAR1A,TSGs,Other,Other,Other
PRKCB,TSGs,Kinases,Other,Other
PRPF40B,Other,Other,Other,Other
PRRX1,Other,Other,TFs,Other
PSIP1,Oncogenes,Other,Other,Other
PTCH1,Oncogenes,Other,Other,Other
PTCH1,TSGs,Other,Other,Other
PTEN,TSGs,Phosphatases,Other,Other
PTK6,Oncogenes,Kinases,Other,Other
PTK6,TSGs,Kinases,Other,Other
PTPN11,Oncogenes,Phosphatases,Other,Other
PTPN11,TSGs,Phosphatases,Other,Other
PTPN13,TSGs,Phosphatases,Other,Other
PTPN6,TSGs,Phosphatases,Other,Other
PTPRB,TSGs,Phosphatases,Other,Receptors
PTPRC,TSGs,Phosphatases,Other,Receptors
PTPRD,TSGs,Other,Other,Receptors
PTPRK,TSGs,Other,Other,Receptors
PTPRT,TSGs,Phosphatases,Other,Receptors
PWWP2A,Other,Other,Other,Other
QKI,Oncogenes,Other,Other,Other
QKI,TSGs,Other,Other,Other
RABEP1,Other,Other,Other,Other
RAC1,Oncogenes,Other,Other,Other
RAD17,TSGs,Other,Other,Other
RAD21,Oncogenes,Other,TFs,Other
