ensembl_gene_symbol	ensembl_gene_id	hgnc_id	ncbi_gene_id
FOXE1	ENSG00000178919.9	HGNC:3806	2304
FOXF1	ENSG00000103241.7	HGNC:3809	2294
FOXM1	ENSG00000111206.13	HGNC:3818	2305
FOXN4	ENSG00000139445.18	HGNC:21399	121643
FOXP3	ENSG00000049768.17	HGNC:6106	50943
FOXQ1	ENSG00000164379.7	HGNC:20951	94234
FOXR1	ENSG00000176302.13	HGNC:29980	283150
FOXR2	ENSG00000189299.7	HGNC:30469	139628
FSTL1	ENSG00000163430.12	HGNC:3972	11167
FSTL3	ENSG00000070404.10	HGNC:3973	10272
FTO	ENSG00000140718.21	HGNC:24678	79068
FURIN	ENSG00000140564.13	HGNC:8568	5045
FZR1	ENSG00000105325.15	HGNC:24824	51343
G6PD	ENSG00000160211.19	HGNC:4057	2539
GAB1	ENSG00000109458.9	HGNC:4066	2549
GADD45A	ENSG00000116717.13	HGNC:4095	1647
GLI2	ENSG00000074047.22	HGNC:4318	2736
GLS2	ENSG00000135423.13	HGNC:29570	27165
GMDS	ENSG00000112699.11	HGNC:4369	2762
GNA12	ENSG00000146535.14	HGNC:4380	2768
GNAI2	ENSG00000114353.17	HGNC:4385	2771
GNB1	ENSG00000078369.18	HGNC:4396	2782
GPC5	ENSG00000179399.15	HGNC:4453	2262
GPRC5A	ENSG00000013588.9	HGNC:9836	9052
GRB2	ENSG00000177885.15	HGNC:4566	2885
GRHL2	ENSG00000083307.12	HGNC:2799	79977
GRIN2D	ENSG00000105464.4	HGNC:4588	2906
GRM1	ENSG00000152822.14	HGNC:4593	2911
GSTP1	ENSG00000084207.18	HGNC:4638	2950
H2AC11	ENSG00000196787.4	HGNC:4737	8969
H2AC16	ENSG00000276903.2	HGNC:4730	8332
H2AC17	ENSG00000278677.2	HGNC:4735	8336
H2AC6	ENSG00000180573.10	HGNC:4733	8334
H2BC11	ENSG00000124635.9	HGNC:4761	8970
H2BC12	ENSG00000197903.8	HGNC:13954	85236
H2BC17	ENSG00000274641.2	HGNC:4758	8348
H2BC4	ENSG00000180596.8	HGNC:4757	8347
H2BC8	ENSG00000273802.3	HGNC:4746	8339
H3-4	ENSG00000168148.4	HGNC:4778	8290
H3C1	ENSG00000275714.2	HGNC:4766	8350
H3C10	ENSG00000278828.2	HGNC:4775	8357
H3C11	ENSG00000275379.2	HGNC:4771	8354
H3C12	ENSG00000197153.5	HGNC:4774	8356
H3C13	ENSG00000183598.4	HGNC:25311	653604
H3C14	ENSG00000203811.2	HGNC:20503	126961
H3C15	ENSG00000203852.4	HGNC:20505	333932
H3C3	ENSG00000287080.2	HGNC:4768	8352
H3C4	ENSG00000197409.8	HGNC:4767	8351
H3C6	ENSG00000274750.3	HGNC:4769	8353
H3C7	ENSG00000277775.2	HGNC:4773	8968
H3C8	ENSG00000273983.2	HGNC:4772	8355
H3P6	ENSG00000235655.3	HGNC:42980	440926
H4C6	ENSG00000274618.2	HGNC:4783	8361
H4C9	ENSG00000276180.2	HGNC:4793	8294
HDAC1	ENSG00000116478.12	HGNC:4852	3065
HDAC2	ENSG00000196591.12	HGNC:4853	3066
HDAC4	ENSG00000068024.18	HGNC:14063	9759
HDAC6	ENSG00000094631.21	HGNC:14064	10013
HDAC7	ENSG00000061273.18	HGNC:14067	51564
HDAC9	ENSG00000048052.24	HGNC:14065	9734
HIPK2	ENSG00000064393.16	HGNC:14402	28996
HIRA	ENSG00000100084.14	HGNC:4916	7290
HMGN2P46	ENSG00000179362.14	HGNC:26817	283651
HOXA11	ENSG00000005073.6	HGNC:5101	3207
HOXA13	ENSG00000106031.9	HGNC:5102	3209
HOXC11	ENSG00000123388.4	HGNC:5123	3227
HOXC13	ENSG00000123364.5	HGNC:5125	3229
HOXD11	ENSG00000128713.14	HGNC:5134	3237
HOXD13	ENSG00000128714.6	HGNC:5136	3239
HSD17B2	ENSG00000086696.11	HGNC:5211	3294
HSP90AB1	ENSG00000096384.20	HGNC:5258	3326
HSP90B1	ENSG00000166598.16	HGNC:12028	7184
HSPG2	ENSG00000142798.20	HGNC:5273	3339
HTATIP2	ENSG00000109854.14	HGNC:16637	10553
ID1	ENSG00000125968.9	HGNC:5360	3397
IFNAR1	ENSG00000142166.13	HGNC:5432	3454
IGF2BP2	ENSG00000073792.16	HGNC:28867	10644
IGLL5	ENSG00000254709.8	HGNC:38476	100423062
IKBKB	ENSG00000104365.16	HGNC:5960	3551
IL1B	ENSG00000125538.12	HGNC:5992	3553
IL1RAPL1	ENSG00000169306.10	HGNC:5996	11141
IL2	ENSG00000109471.5	HGNC:6001	3558
IL21R	ENSG00000103522.16	HGNC:6006	50615
IL4R	ENSG00000077238.14	HGNC:6015	3566
IL6	ENSG00000136244.12	HGNC:6018	3569
IL6ST	ENSG00000134352.20	HGNC:6021	3572
IMMP2L	ENSG00000184903.10	HGNC:14598	83943
ING1	ENSG00000153487.13	HGNC:6062	3621
INPPL1	ENSG00000165458.15	HGNC:6080	3636
INTS6	ENSG00000102786.15	HGNC:14879	26512
IQGAP1	ENSG00000140575.13	HGNC:6110	8826
IRF1	ENSG00000125347.15	HGNC:6116	3659
IRS4	ENSG00000133124.12	HGNC:6128	8471
ISX	ENSG00000175329.13	HGNC:28084	91464
ITCH	ENSG00000078747.16	HGNC:13890	83737
ITGA9	ENSG00000144668.12	HGNC:6145	3680
ITGAV	ENSG00000138448.12	HGNC:6150	3685
