symbol	oncogene	tsgene	hgnc_id
IRF8	FALSE	TRUE	HGNC:5358
IRS1	TRUE	FALSE	HGNC:6125
IRS2	TRUE	FALSE	HGNC:6126
ITPKB	TRUE	FALSE	HGNC:6179
JAK1	TRUE	TRUE	HGNC:6190
JAK2	TRUE	FALSE	HGNC:6192
JAK3	TRUE	FALSE	HGNC:6193
JARID2	TRUE	TRUE	HGNC:6196
JUN	TRUE	FALSE	HGNC:6204
KAT6A	FALSE	FALSE	HGNC:13013
KAT7	TRUE	FALSE	HGNC:17016
KBTBD4	FALSE	FALSE	HGNC:23761
KDM5A	TRUE	FALSE	HGNC:9886
KDM5C	FALSE	TRUE	HGNC:11114
KDM5D	TRUE	TRUE	HGNC:11115
KDM6A	FALSE	TRUE	HGNC:12637
KDR	TRUE	FALSE	HGNC:6307
KEAP1	FALSE	TRUE	HGNC:23177
KEL	TRUE	FALSE	HGNC:6308
KIT	TRUE	FALSE	HGNC:6342
KLF2	FALSE	TRUE	HGNC:6347
KLF3	FALSE	TRUE	HGNC:16516
KLF4	TRUE	TRUE	HGNC:6348
KLF5	TRUE	FALSE	HGNC:6349
KLHL6	TRUE	TRUE	HGNC:18653
KMT2A	FALSE	TRUE	HGNC:7132
KMT2B	FALSE	TRUE	HGNC:15840
KMT2C	FALSE	TRUE	HGNC:13726
KMT2D	FALSE	TRUE	HGNC:7133
KMT5A	FALSE	FALSE	HGNC:29489
KNSTRN	FALSE	FALSE	HGNC:30767
KRAS	TRUE	FALSE	HGNC:6407
KSR2	TRUE	FALSE	HGNC:18610
LARP4B	FALSE	FALSE	HGNC:28987
LATS1	FALSE	TRUE	HGNC:6514
LATS2	FALSE	TRUE	HGNC:6515
LCK	TRUE	FALSE	HGNC:6524
LEF1	TRUE	FALSE	HGNC:6551
LGR5	TRUE	FALSE	HGNC:4504
LMO1	TRUE	FALSE	HGNC:6641
LMO2	TRUE	FALSE	HGNC:6642
LRP1B	FALSE	TRUE	HGNC:6693
LRP5	TRUE	TRUE	HGNC:6697
LRP6	TRUE	FALSE	HGNC:6698
LTB	TRUE	TRUE	HGNC:6711
LTK	TRUE	FALSE	HGNC:6721
LYN	TRUE	FALSE	HGNC:6735
LZTR1	FALSE	TRUE	HGNC:6742
MAD2L2	TRUE	TRUE	HGNC:6764
MAF	FALSE	FALSE	HGNC:6776
MAFB	TRUE	FALSE	HGNC:6408
MAL2	FALSE	TRUE	HGNC:13634
MALT1	FALSE	FALSE	HGNC:6819
MAP2K1	TRUE	FALSE	HGNC:6840
MAP2K2	TRUE	FALSE	HGNC:6842
MAP2K4	FALSE	TRUE	HGNC:6844
MAP3K1	FALSE	TRUE	HGNC:6848
MAP3K13	TRUE	FALSE	HGNC:6852
MAP3K14	TRUE	FALSE	HGNC:6853
MAP3K7	TRUE	FALSE	HGNC:6859
MAP4K4	TRUE	FALSE	HGNC:6866
MAPK1	TRUE	FALSE	HGNC:6871
MAPK3	TRUE	FALSE	HGNC:6877
MAPKAP1	FALSE	FALSE	HGNC:18752
MAX	FALSE	TRUE	HGNC:6913
MBD4	FALSE	TRUE	HGNC:6919
MBD6	FALSE	TRUE	HGNC:20445
MCL1	TRUE	FALSE	HGNC:6943
MDC1	FALSE	FALSE	HGNC:21163
MDM2	TRUE	FALSE	HGNC:6973
MDM4	TRUE	FALSE	HGNC:6974
MECOM	TRUE	FALSE	HGNC:3498
MED12	TRUE	TRUE	HGNC:11957
MEF2B	TRUE	FALSE	HGNC:6995
MEF2C	TRUE	TRUE	HGNC:6996
MEF2D	TRUE	FALSE	HGNC:6997
MEN1	FALSE	TRUE	HGNC:7010
MERTK	TRUE	FALSE	HGNC:7027
MET	TRUE	FALSE	HGNC:7029
MGA	FALSE	TRUE	HGNC:14010
MGAM	TRUE	FALSE	HGNC:7043
MIDEAS	FALSE	TRUE	HGNC:19853
MITF	TRUE	TRUE	HGNC:7105
MKI67	TRUE	FALSE	HGNC:7107
MLH1	FALSE	TRUE	HGNC:7127
MLH3	FALSE	TRUE	HGNC:7128
MLLT1	FALSE	FALSE	HGNC:7134
MLLT10	TRUE	FALSE	HGNC:16063
MLLT3	TRUE	FALSE	HGNC:7136
MOB3B	FALSE	TRUE	HGNC:23825
MPEG1	FALSE	FALSE	HGNC:29619
MPL	TRUE	FALSE	HGNC:7217
MRE11	FALSE	TRUE	HGNC:7230
MS4A1	FALSE	FALSE	HGNC:7315
MSH2	FALSE	TRUE	HGNC:7325
MSH3	FALSE	TRUE	HGNC:7326
MSH6	FALSE	TRUE	HGNC:7329
MSI1	TRUE	FALSE	HGNC:7330
MSI2	TRUE	FALSE	HGNC:18585
MST1	FALSE	TRUE	HGNC:7380
MST1R	TRUE	FALSE	HGNC:7381
MTAP	FALSE	TRUE	HGNC:7413
MTOR	TRUE	FALSE	HGNC:3942
MUTYH	FALSE	TRUE	HGNC:7527
MYB	TRUE	FALSE	HGNC:7545
MYBL1	TRUE	FALSE	HGNC:7547
MYC	TRUE	FALSE	HGNC:7553
MYCL	TRUE	FALSE	HGNC:7555
MYCN	TRUE	FALSE	HGNC:7559
MYD88	TRUE	FALSE	HGNC:7562
MYH11	FALSE	TRUE	HGNC:7569
MYOD1	FALSE	TRUE	HGNC:7611
NADK	TRUE	FALSE	HGNC:29831
NBN	FALSE	TRUE	HGNC:7652
NCOA3	TRUE	FALSE	HGNC:7670
NCOR1	FALSE	TRUE	HGNC:7672
NCOR2	FALSE	FALSE	HGNC:7673
NCSTN	TRUE	FALSE	HGNC:17091
NEGR1	FALSE	FALSE	HGNC:17302
NF1	FALSE	TRUE	HGNC:7765
NF2	FALSE	TRUE	HGNC:7773
NFE2	TRUE	FALSE	HGNC:7780
NFE2L2	TRUE	FALSE	HGNC:7782
NFKBIA	FALSE	TRUE	HGNC:7797
NKX2-1	TRUE	FALSE	HGNC:11825
NKX3-1	FALSE	TRUE	HGNC:7838
NOTCH1	TRUE	TRUE	HGNC:7881
NOTCH2	TRUE	TRUE	HGNC:7882
NOTCH3	TRUE	TRUE	HGNC:7883
NOTCH4	TRUE	TRUE	HGNC:7884
NPM1	FALSE	TRUE	HGNC:7910
NR4A3	TRUE	FALSE	HGNC:7982
NRAS	TRUE	FALSE	HGNC:7989
NRG1	TRUE	FALSE	HGNC:7997
NSD1	TRUE	TRUE	HGNC:14234
NSD2	TRUE	FALSE	HGNC:12766
NSD3	FALSE	FALSE	HGNC:12767
NT5C2	TRUE	FALSE	HGNC:8022
NTHL1	FALSE	TRUE	HGNC:8028
NTRK1	TRUE	FALSE	HGNC:8031
NTRK2	TRUE	FALSE	HGNC:8032
NTRK3	TRUE	FALSE	HGNC:8033
NUF2	TRUE	FALSE	HGNC:14621
NUP214	TRUE	FALSE	HGNC:8064
NUP93	FALSE	FALSE	HGNC:28958
NUP98	TRUE	FALSE	HGNC:8068
NUTM1	FALSE	FALSE	HGNC:29919
ONECUT2	TRUE	FALSE	HGNC:8139
P2RY8	FALSE	TRUE	HGNC:15524
PAK1	TRUE	FALSE	HGNC:8590
PAK5	TRUE	FALSE	HGNC:15916
PALB2	FALSE	TRUE	HGNC:26144
PARP1	FALSE	TRUE	HGNC:270
PAX3	TRUE	FALSE	HGNC:8617
PAX5	TRUE	TRUE	HGNC:8619
PAX7	TRUE	FALSE	HGNC:8621
PAX8	TRUE	FALSE	HGNC:8622
PBRM1	FALSE	TRUE	HGNC:30064
PCBP1	FALSE	FALSE	HGNC:8647
PDCD1	TRUE	FALSE	HGNC:8760
PDCD1LG2	TRUE	FALSE	HGNC:18731
PDGFB	TRUE	FALSE	HGNC:8800
PDGFRA	TRUE	FALSE	HGNC:8803
PDGFRB	TRUE	FALSE	HGNC:8804
PDK1	TRUE	FALSE	HGNC:8809
PDPK1	FALSE	FALSE	HGNC:8816
PDS5B	FALSE	TRUE	HGNC:20418
PGBD5	TRUE	FALSE	HGNC:19405
PGR	TRUE	FALSE	HGNC:8910
PHF19	TRUE	FALSE	HGNC:24566
PHF6	FALSE	TRUE	HGNC:18145
PHLPP1	FALSE	TRUE	HGNC:20610
PHLPP2	FALSE	TRUE	HGNC:29149
PHOX2B	FALSE	TRUE	HGNC:9143
PIGA	FALSE	TRUE	HGNC:8957
PIK3C2B	TRUE	FALSE	HGNC:8972
PIK3C2G	FALSE	FALSE	HGNC:8973
PIK3C3	FALSE	FALSE	HGNC:8974
PIK3CA	TRUE	FALSE	HGNC:8975
PIK3CB	TRUE	FALSE	HGNC:8976
PIK3CD	TRUE	FALSE	HGNC:8977
PIK3CG	TRUE	FALSE	HGNC:8978
PIK3R1	FALSE	TRUE	HGNC:8979
PIK3R2	FALSE	TRUE	HGNC:8980
PIK3R3	FALSE	TRUE	HGNC:8981
PIM1	FALSE	FALSE	HGNC:8986
PLCG1	TRUE	FALSE	HGNC:9065
PLCG2	TRUE	FALSE	HGNC:9066
PLK2	FALSE	FALSE	HGNC:19699
PMAIP1	FALSE	TRUE	HGNC:9108
PMS1	FALSE	TRUE	HGNC:9121
