gene	reportMissense	reportNonsense	reportSplice	reportDeletion	reportDisruption	reportAmplification	reportSomaticHotspot	likelihoodType	reportGermlineVariant	reportGermlineHotspot	reportGermlineDisruption	reportGermlineDeletion	additionalReportedTranscripts	reportPGX
ERCC2	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
ERF	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
ERG	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
ESR1	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
ETNK1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
ETS2	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
EYS	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
EZH2	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
FANCA	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
FANCC	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
FANCD2	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
FANCF	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
FANCL	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
FANCM	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
FAT1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
FAT4	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
FBXL17	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
FBXO11	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
FBXW7	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
FGF3	false	false	false	false	false	true	false	ONCO	NONE	NONE	NONE	NONE		false
FGFR1	true	false	false	false	true	true	true	ONCO	NONE	NONE	NONE	NONE		false
FGFR2	true	true	false	false	true	true	true	ONCO	NONE	NONE	NONE	NONE		false
FGFR3	true	false	false	false	true	true	true	ONCO	NONE	NONE	NONE	NONE		false
FGFR4	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
FH	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
FHIT	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
FLCN	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
FLT1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
FLT3	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
FLT4	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
FNTB	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
FOSL2	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
FOXA1	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
FOXA2	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
FOXL2	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
FOXO3	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
FOXP1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
FOXQ1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
FUBP1	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
G6PD	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
GATA1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
GATA2	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
GATA3	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
GATA6	false	false	false	false	false	true	false	ONCO	NONE	NONE	NONE	NONE		false
GMDS	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
GNA11	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
GNAQ	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
GNAS	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
GPHN	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
GPS2	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
GRIN2A	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
GSK3B	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
GSTP1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
GTF2I	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
H1-2	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
H3-3A	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
H3-3B	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
H3C13	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
H3C2	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
HIF1A	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
HLA-A	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
HLA-B	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
HLA-C	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
HNF1A	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
HNRNPA2B1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
HOXC13	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
HRAS	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
IDH1	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
IDH2	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
IGF1R	false	false	false	false	false	true	false	ONCO	NONE	NONE	NONE	NONE		false
IGLL5	true	false	false	true	true	true	true	ONCO	NONE	NONE	NONE	NONE		false
IKBKB	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
IKZF1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
IL1RAPL1	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
