Gene_symbol	Ensembl_ID	hgnc_id
MAP3K13	ENSG00000073803	HGNC:6852
MAP3K7	ENSG00000135341	HGNC:6859
MAPK1	ENSG00000100030	HGNC:6871
MAX	ENSG00000125952	HGNC:6913
MB21D2	ENSG00000180611	HGNC:30438
MBD6	ENSG00000166987	HGNC:20445
MDM2	ENSG00000135679	HGNC:6973
MDM4	ENSG00000198625	HGNC:6974
MECOM	ENSG00000085276	HGNC:3498
MED12	ENSG00000184634	HGNC:11957
MEF2B	ENSG00000213999	HGNC:6995
MEN1	ENSG00000133895	HGNC:7010
MET	ENSG00000105976	HGNC:7029
MGA	ENSG00000174197	HGNC:14010
MITF	ENSG00000187098	HGNC:7105
MLF1	ENSG00000178053	HGNC:7125
MLH1	ENSG00000076242	HGNC:7127
MLLT1	ENSG00000130382	HGNC:7134
MLLT10	ENSG00000078403	HGNC:16063
MLLT11	ENSG00000213190	HGNC:16997
MLLT3	ENSG00000171843	HGNC:7136
MLLT6	ENSG00000108292	HGNC:7138
MN1	ENSG00000169184	HGNC:7180
MNX1	ENSG00000130675	HGNC:4979
MPL	ENSG00000117400	HGNC:7217
MSH2	ENSG00000095002	HGNC:7325
MSH3	ENSG00000113318	HGNC:7326
MSH6	ENSG00000116062	HGNC:7329
MSI2	ENSG00000153944	HGNC:18585
MSN	ENSG00000147065	HGNC:7373
MTCP1	ENSG00000268700	HGNC:7423
MTOR	ENSG00000198793	HGNC:3942
MUC1	ENSG00000185499	HGNC:7508
MUTYH	ENSG00000132781	HGNC:7527
MYB	ENSG00000118513	HGNC:7545
MYC	ENSG00000136997	HGNC:7553
MYCL	ENSG00000116990	HGNC:7555
MYCN	ENSG00000134323	HGNC:7559
MYD88	ENSG00000172936	HGNC:7562
MYH11	ENSG00000133392	HGNC:7569
MYH9	ENSG00000100345	HGNC:7579
MYO5A	ENSG00000197535	HGNC:7602
MYOD1	ENSG00000129152	HGNC:7611
NAB2	ENSG00000166886	HGNC:7627
NACA	ENSG00000196531	HGNC:7629
NBEA	ENSG00000172915	HGNC:7648
NBN	ENSG00000104320	HGNC:7652
NCOA1	ENSG00000084676	HGNC:7668
NCOA2	ENSG00000140396	HGNC:7669
NCOA4	ENSG00000266412	HGNC:7671
NCOR1	ENSG00000141027	HGNC:7672
NCOR2	ENSG00000196498	HGNC:7673
NDRG1	ENSG00000104419	HGNC:7679
NF1	ENSG00000196712	HGNC:7765
NF2	ENSG00000186575	HGNC:7773
NFATC2	ENSG00000101096	HGNC:7776
NFE2L2	ENSG00000116044	HGNC:7782
NFIB	ENSG00000147862	HGNC:7785
NFKB2	ENSG00000077150	HGNC:7795
NFKBIA	ENSG00000100906	HGNC:7797
NFKBIE	ENSG00000146232	HGNC:7799
NIN	ENSG00000100503	HGNC:14906
NKX2-1	ENSG00000136352	HGNC:11825
NONO	ENSG00000147140	HGNC:7871
NOTCH1	ENSG00000148400	HGNC:7881
NOTCH2	ENSG00000134250	HGNC:7882
NPM1	ENSG00000181163	HGNC:7910
NR4A3	ENSG00000119508	HGNC:7982
NRAS	ENSG00000213281	HGNC:7989
NRG1	ENSG00000157168	HGNC:7997
NSD1	ENSG00000165671	HGNC:14234
NSD2	ENSG00000109685	HGNC:12766
NT5C2	ENSG00000076685	HGNC:8022
NTHL1	ENSG00000065057	HGNC:8028
NTRK1	ENSG00000198400	HGNC:8031
NTRK3	ENSG00000140538	HGNC:8033
NUMA1	ENSG00000137497	HGNC:8059
NUP214	ENSG00000126883	HGNC:8064
NUP93	ENSG00000102900	HGNC:28958
NUP98	ENSG00000110713	HGNC:8068
NUTM1	ENSG00000184507	HGNC:29919
NXF1	ENSG00000162231	HGNC:8071
ODF2L	ENSG00000122417	HGNC:29225
OLIG2	ENSG00000205927	HGNC:9398
OMD	ENSG00000127083	HGNC:8134
P2RY8	ENSG00000182162	HGNC:15524
PABPC1	ENSG00000070756	HGNC:8554
PAFAH1B2	ENSG00000168092	HGNC:8575
PALB2	ENSG00000083093	HGNC:26144
PAX3	ENSG00000135903	HGNC:8617
PAX5	ENSG00000196092	HGNC:8619
PAX7	ENSG00000009709	HGNC:8621
PAX8	ENSG00000125618	HGNC:8622
PBRM1	ENSG00000163939	HGNC:30064
PBX1	ENSG00000185630	HGNC:8632
PCBP1	ENSG00000169564	HGNC:8647
PCM1	ENSG00000078674	HGNC:8727
PDCD1LG2	ENSG00000197646	HGNC:18731
PDE4DIP	ENSG00000264708	HGNC:15580
PDGFB	ENSG00000100311	HGNC:8800
PDGFRA	ENSG00000134853	HGNC:8803
PDGFRB	ENSG00000113721	HGNC:8804
PDS5B	ENSG00000083642	HGNC:20418
PER1	ENSG00000179094	HGNC:8845
PHF6	ENSG00000156531	HGNC:18145
PHOX2B	ENSG00000109132	HGNC:9143
PICALM	ENSG00000073921	HGNC:15514
PIK3CA	ENSG00000121879	HGNC:8975
PIK3CB	ENSG00000051382	HGNC:8976
PIK3R1	ENSG00000145675	HGNC:8979
PIM1	ENSG00000137193	HGNC:8986
PLAG1	ENSG00000181690	HGNC:9045
PLCG1	ENSG00000124181	HGNC:9065
PML	ENSG00000140464	HGNC:9113
PMS1	ENSG00000064933	HGNC:9121
PMS2	ENSG00000122512	HGNC:9122
POLD1	ENSG00000062822	HGNC:9175
POLE	ENSG00000177084	HGNC:9177
POLQ	ENSG00000051341	HGNC:9186
POT1	ENSG00000128513	HGNC:17284
POU2AF1	ENSG00000110777	HGNC:9211
POU5F1	ENSG00000204531	HGNC:9221
PPARG	ENSG00000132170	HGNC:9236
PPFIBP1	ENSG00000110841	HGNC:9249
PPM1D	ENSG00000170836	HGNC:9277
PPP2R1A	ENSG00000105568	HGNC:9302
PPP6C	ENSG00000119414	HGNC:9323
PRB4	ENSG00000230657	HGNC:9340
PRCC	ENSG00000143294	HGNC:9343
PRDM1	ENSG00000057657	HGNC:9346
PRDM16	ENSG00000142611	HGNC:14000
PRDM2	ENSG00000116731	HGNC:9347
PREX2	ENSG00000046889	HGNC:22950
PRF1	ENSG00000180644	HGNC:9360
PRKACA	ENSG00000072062	HGNC:9380
PRKAR1A	ENSG00000108946	HGNC:9388
PRRX1	ENSG00000116132	HGNC:9142
PSIP1	ENSG00000164985	HGNC:9527
PTCH1	ENSG00000185920	HGNC:9585
PTEN	ENSG00000171862	HGNC:9588
PTK6	ENSG00000101213	HGNC:9617
PTPN11	ENSG00000179295	HGNC:9644
PTPN13	ENSG00000163629	HGNC:9646
PTPN6	ENSG00000268954	HGNC:9658
PTPRB	ENSG00000127329	HGNC:9665
PTPRC	ENSG00000081237	HGNC:9666
PTPRD	ENSG00000153707	HGNC:9668
PTPRK	ENSG00000152894	HGNC:9674
PTPRT	ENSG00000196090	HGNC:9682
QKI	ENSG00000112531	HGNC:21100
RABEP1	ENSG00000029725	HGNC:17677
RAC1	ENSG00000136238	HGNC:9801
RAD21	ENSG00000164754	HGNC:9811
RAD51B	ENSG00000182185	HGNC:9822
RAD54B	ENSG00000197275	HGNC:17228
RAF1	ENSG00000132155	HGNC:9829
RALGDS	ENSG00000160271	HGNC:9842
RANBP2	ENSG00000153201	HGNC:9848
RAP1GDS1	ENSG00000138698	HGNC:9859
RARA	ENSG00000131759	HGNC:9864
RASA1	ENSG00000145715	HGNC:9871
RB1	ENSG00000139687	HGNC:9884
RBBP6	ENSG00000122257	HGNC:9889
RBM10	ENSG00000271352	HGNC:9896
RBM15	ENSG00000162775	HGNC:14959
RBM43	ENSG00000184898	HGNC:24790
RBMX	ENSG00000147274	HGNC:9910
RECQL4	ENSG00000160957	HGNC:9949
REL	ENSG00000162924	HGNC:9954
RELN	ENSG00000189056	HGNC:9957
REST	ENSG00000084093	HGNC:9966
RET	ENSG00000165731	HGNC:9967
REV3L	ENSG00000009413	HGNC:9968
RGPD3	ENSG00000153165	HGNC:32416
RGS7	ENSG00000182901	HGNC:10003
RHOA	ENSG00000067560	HGNC:667
RHOH	ENSG00000168421	HGNC:686
RHPN2	ENSG00000131941	HGNC:19974
RMI2	ENSG00000175643	HGNC:28349
RNF213	ENSG00000173821	HGNC:14539
RNF43	ENSG00000108375	HGNC:18505
ROCK2	ENSG00000134318	HGNC:10252
ROS1	ENSG00000047936	HGNC:10261
RPL10	ENSG00000268963	HGNC:10298
RPL22	ENSG00000116251	HGNC:10315
RPL5	ENSG00000122406	HGNC:10360
RPN1	ENSG00000163902	HGNC:10381
RPS6KA3	ENSG00000177189	HGNC:10432
RRAS2	ENSG00000133818	HGNC:17271
RSPO2	ENSG00000147655	HGNC:28583
RSPO3	ENSG00000146374	HGNC:20866
RUNX1	ENSG00000159216	HGNC:10471
RUNX1T1	ENSG00000079102	HGNC:1535
RXRA	ENSG00000269571	HGNC:10477
SALL4	ENSG00000101115	HGNC:15924
SBDS	ENSG00000126524	HGNC:19440
SDC4	ENSG00000124145	HGNC:10661
SDHA	ENSG00000073578	HGNC:10680
SDHAF2	ENSG00000167985	HGNC:26034
SDHB	ENSG00000117118	HGNC:10681
SDHC	ENSG00000143252	HGNC:10682
SDHD	ENSG00000255292	HGNC:10683
SET	ENSG00000119335	HGNC:10760
SETBP1	ENSG00000152217	HGNC:15573
SETD1B	ENSG00000139718	HGNC:29187
SETD2	ENSG00000181555	HGNC:18420
SETDB1	ENSG00000143379	HGNC:10761
SF3B1	ENSG00000115524	HGNC:10768
SFPQ	ENSG00000116560	HGNC:10774
SFRP4	ENSG00000106483	HGNC:10778
SGK1	ENSG00000118515	HGNC:10810
SH2B3	ENSG00000111252	HGNC:29605
SH3GL1	ENSG00000141985	HGNC:10830
