gene	reportMissense	reportNonsense	reportSplice	reportDeletion	reportDisruption	reportAmplification	reportSomaticHotspot	likelihoodType	reportGermlineVariant	reportGermlineHotspot	reportGermlineDisruption	reportGermlineDeletion	additionalReportedTranscripts	reportPGX
FANCE	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FANCF	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FANCG	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FANCI	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FANCL	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FANCM	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FAS	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FAT1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FBXW7	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FEV	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FGF1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FGF19	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
FGF3	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
FGF4	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
FGFR1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
FGFR2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
FGFR3	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
FGFR4	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
FH	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FHIT	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FIP1L1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
FLCN	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FLI1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
FLT1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
FLT3	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
FLT4	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
FOXA1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
FOXA2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
FOXL2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
FOXO1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FOXO3	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FOXO4	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FOXP1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FUBP1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
FUS	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
FYN	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
GAB2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
GAS7	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
GATA1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
GATA2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
GATA3	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
GATA4	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
GATA6	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
GLI1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
GLIS2	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
GMPS	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
GNA11	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
GNA13	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
GNAQ	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
GNAS	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
GOLGA5	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
GOPC	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
GPC3	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
GPHN	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
GREM1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
GRIN2A	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
GSK3B	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
