symbol	oncogene	tsgene	hgnc_id
SPATC1L	FALSE	FALSE	HGNC:1298
SPECC1	FALSE	FALSE	HGNC:30615
SPEG	FALSE	FALSE	HGNC:16901
SPEN	FALSE	TRUE	HGNC:17575
SPHK1	FALSE	FALSE	HGNC:11240
SPHKAP	FALSE	FALSE	HGNC:30619
SPI1	FALSE	FALSE	HGNC:11241
SPIB	FALSE	FALSE	HGNC:11242
SPN	FALSE	FALSE	HGNC:11249
SPOP	TRUE	TRUE	HGNC:11254
SPRED1	FALSE	FALSE	HGNC:20249
SPRR2B	FALSE	FALSE	HGNC:11262
SPRY3	FALSE	FALSE	HGNC:11271
SPTA1	FALSE	FALSE	HGNC:11272
SPTAN1	FALSE	FALSE	HGNC:11273
SPTB	FALSE	FALSE	HGNC:11274
SPTBN2	FALSE	FALSE	HGNC:11276
