gene	likelihoodType	hgnc_id	oncogene	tsgene
H3C2	ONCO	HGNC:4776	TRUE	FALSE
HAS2	NA	HGNC:4819	NA	NA
HEY1	NA	HGNC:4880	NA	NA
HIF1A	ONCO	HGNC:4910	TRUE	FALSE
HIP1	NA	HGNC:4913	NA	NA
HLA-A	TSG	HGNC:4931	FALSE	TRUE
HLA-B	TSG	HGNC:4932	FALSE	TRUE
HLA-C	TSG	HGNC:4933	FALSE	TRUE
HLF	NA	HGNC:4977	NA	NA
HMGA2	NA	HGNC:5009	NA	NA
HMGN2P46	NA	HGNC:26817	NA	NA
HNF1A	TSG	HGNC:11621	FALSE	TRUE
HNRNPA2B1	TSG	HGNC:5033	FALSE	TRUE
HOOK3	NA	HGNC:23576	NA	NA
HOXA13	NA	HGNC:5102	NA	NA
HOXA9	NA	HGNC:5109	NA	NA
HOXC11	NA	HGNC:5123	NA	NA
HOXC13	TSG	HGNC:5125	FALSE	TRUE
HOXD13	NA	HGNC:5136	NA	NA
HRAS	ONCO	HGNC:5173	TRUE	FALSE
ICA1L	NA	HGNC:14442	NA	NA
IDH1	ONCO	HGNC:5382	TRUE	FALSE
IDH2	ONCO	HGNC:5383	TRUE	FALSE
IGF1R	ONCO	HGNC:5465	TRUE	FALSE
IGF2BP3	NA	HGNC:28868	NA	NA
IGH	NA	HGNC:5477	NA	NA
IGK	NA	HGNC:5715	NA	NA
IGL	NA	HGNC:5853	NA	NA
IGLL5	ONCO	HGNC:38476	TRUE	FALSE
IKBKB	ONCO	HGNC:5960	TRUE	FALSE
IKZF1	TSG	HGNC:13176	FALSE	TRUE
IL1RAPL1	TSG	HGNC:5996	FALSE	TRUE
IL6ST	ONCO	HGNC:6021	TRUE	FALSE
IL7R	ONCO	HGNC:6024	TRUE	FALSE
IMMP2L	TSG	HGNC:14598	FALSE	TRUE
IQCK	NA	HGNC:28556	NA	NA
IRF2	TSG	HGNC:6117	FALSE	TRUE
IRF2BP2	NA	HGNC:21729	NA	NA
IRS2	ONCO	HGNC:6126	TRUE	FALSE
ITGA9	TSG	HGNC:6145	FALSE	TRUE
ITGAV	TSG	HGNC:6150	FALSE	TRUE
ITK	NA	HGNC:6171	NA	NA
JAK1	TSG	HGNC:6190	FALSE	TRUE
JAK2	ONCO	HGNC:6192	TRUE	FALSE
JAK3	ONCO	HGNC:6193	TRUE	FALSE
JAKMIP1	NA	HGNC:26460	NA	NA
JAZF1	NA	HGNC:28917	NA	NA
JMJD4	TSG	HGNC:25724	FALSE	TRUE
KANK1	NA	HGNC:19309	NA	NA
KANSL1	TSG	HGNC:24565	FALSE	TRUE
KAT6A	NA	HGNC:13013	NA	NA
KAT6B	NA	HGNC:17582	NA	NA
KCNJ5	ONCO	HGNC:6266	TRUE	FALSE
KCTD8	NA	HGNC:22394	NA	NA
KDELR2	NA	HGNC:6305	NA	NA
KDM5A	NA	HGNC:9886	NA	NA
KDM5C	TSG	HGNC:11114	FALSE	TRUE
KDM6A	TSG	HGNC:12637	FALSE	TRUE
KDR	ONCO	HGNC:6307	TRUE	FALSE
KEAP1	TSG	HGNC:23177	FALSE	TRUE
KIAA1549	NA	HGNC:22219	NA	NA
KIF5B	NA	HGNC:6324	NA	NA
KIT	ONCO	HGNC:6342	TRUE	FALSE
KLC1	NA	HGNC:6387	NA	NA
KLF17	NA	HGNC:18830	NA	NA
KLF4	TSG	HGNC:6348	FALSE	TRUE
KLF5	ONCO	HGNC:6349	TRUE	FALSE
KLK2	NA	HGNC:6363	NA	NA
KMT2A	ONCO	HGNC:7132	TRUE	FALSE
KMT2B	TSG	HGNC:15840	FALSE	TRUE
KMT2C	TSG	HGNC:13726	FALSE	TRUE
KMT2D	TSG	HGNC:7133	FALSE	TRUE
KMT2E	NA	HGNC:18541	NA	NA
KRAS	ONCO	HGNC:6407	TRUE	FALSE
KRT5	TSG	HGNC:6442	FALSE	TRUE
KRTAP5-5	TSG	HGNC:23601	FALSE	TRUE
LASP1	NA	HGNC:6513	NA	NA
LATS2	TSG	HGNC:6515	FALSE	TRUE
LEUTX	NA	HGNC:31953	NA	NA
LHFPL6	NA	HGNC:6586	NA	NA
LIFR	NA	HGNC:6597	NA	NA
LIMA1	NA	HGNC:24636	NA	NA
LINC00290	TSG	HGNC:38515	FALSE	TRUE
LINC01001	TSG	HGNC:38540	FALSE	TRUE
LMBRD2	ONCO	HGNC:25287	TRUE	FALSE
LMNA	NA	HGNC:6636	NA	NA
LPP	NA	HGNC:6679	NA	NA
LRIG3	NA	HGNC:30991	NA	NA
LRP1B	TSG	HGNC:6693	FALSE	TRUE
LRRN3	TSG	HGNC:17200	FALSE	TRUE
LSAMP	TSG	HGNC:6705	FALSE	TRUE
LTK	NA	HGNC:6721	NA	NA
LYN	NA	HGNC:6735	NA	NA
LZTR1	TSG	HGNC:6742	FALSE	TRUE
MACROD2	TSG	HGNC:16126	FALSE	TRUE
MAF	NA	HGNC:6776	NA	NA
MAL	NA	HGNC:6817	NA	NA
MALAT1	NA	HGNC:29665	NA	NA
MALT1	NA	HGNC:6819	NA	NA
MAML2	NA	HGNC:16259	NA	NA
MAML3	NA	HGNC:16272	NA	NA
MAMLD1	NA	HGNC:2568	NA	NA
MAP2K1	ONCO	HGNC:6840	TRUE	FALSE
MAP2K2	ONCO	HGNC:6842	TRUE	FALSE
MAP2K4	TSG	HGNC:6844	FALSE	TRUE
MAP2K7	TSG	HGNC:6847	FALSE	TRUE
MAP3K1	TSG	HGNC:6848	FALSE	TRUE
MAP3K13	ONCO	HGNC:6852	TRUE	FALSE
MAP3K21	TSG	HGNC:29798	FALSE	TRUE
MAX	TSG	HGNC:6913	FALSE	TRUE
MBTD1	NA	HGNC:19866	NA	NA
MCL1	ONCO	HGNC:6943	TRUE	FALSE
MDM2	ONCO	HGNC:6973	TRUE	FALSE
MDM4	ONCO	HGNC:6974	TRUE	FALSE
MEAF6	NA	HGNC:25674	NA	NA
MECOM	ONCO	HGNC:3498	TRUE	FALSE
MED12	TSG	HGNC:11957	FALSE	TRUE
MEF2D	NA	HGNC:6997	NA	NA
MEGF6	TSG	HGNC:3232	FALSE	TRUE
MEN1	TSG	HGNC:7010	FALSE	TRUE
MET	ONCO	HGNC:7029	TRUE	FALSE
MGA	TSG	HGNC:14010	FALSE	TRUE
MGMT	TSG	HGNC:7059	FALSE	TRUE
MIPOL1	TSG	HGNC:21460	FALSE	TRUE
MITF	ONCO	HGNC:7105	TRUE	FALSE
MKRN1	NA	HGNC:7112	NA	NA
MLF1	NA	HGNC:7125	NA	NA
MLH1	TSG	HGNC:7127	FALSE	TRUE
MLLT1	NA	HGNC:7134	NA	NA
MLLT10	NA	HGNC:16063	NA	NA
MLLT11	NA	HGNC:16997	NA	NA
MLLT3	NA	HGNC:7136	NA	NA
MLLT6	NA	HGNC:7138	NA	NA
MN1	NA	HGNC:7180	NA	NA
MNX1	NA	HGNC:4979	NA	NA
MPL	ONCO	HGNC:7217	TRUE	FALSE
MPRIP	NA	HGNC:30321	NA	NA
MRE11	TSG	HGNC:7230	FALSE	TRUE
MRTFB	NA	HGNC:29819	NA	NA
MSH2	TSG	HGNC:7325	FALSE	TRUE
MSH6	TSG	HGNC:7329	FALSE	TRUE
MSMB	NA	HGNC:7372	NA	NA
MSN	NA	HGNC:7373	NA	NA
MST1R	TSG	HGNC:7381	FALSE	TRUE
MTHFR	TSG	HGNC:7436	FALSE	TRUE
MTOR	ONCO	HGNC:3942	TRUE	FALSE
MUTYH	TSG	HGNC:7527	FALSE	TRUE
MYB	NA	HGNC:7545	NA	NA
MYBL1	NA	HGNC:7547	NA	NA
MYC	ONCO	HGNC:7553	TRUE	FALSE
MYCL	ONCO	HGNC:7555	TRUE	FALSE
MYCN	ONCO	HGNC:7559	TRUE	FALSE
MYD88	ONCO	HGNC:7562	TRUE	FALSE
MYH11	NA	HGNC:7569	NA	NA
MYH9	NA	HGNC:7579	NA	NA
MYO1F	NA	HGNC:7600	NA	NA
MYO5A	NA	HGNC:7602	NA	NA
MYOD1	ONCO	HGNC:7611	TRUE	FALSE
NAALADL2	TSG	HGNC:23219	FALSE	TRUE
NAB2	NA	HGNC:7627	NA	NA
NBN	TSG	HGNC:7652	FALSE	TRUE
NCKIPSD	NA	HGNC:15486	NA	NA
NCOA1	NA	HGNC:7668	NA	NA
NCOA2	ONCO	HGNC:7669	TRUE	FALSE
NCOA4	NA	HGNC:7671	NA	NA
NCOR1	TSG	HGNC:7672	FALSE	TRUE
NCOR2	NA	HGNC:7673	NA	NA
NDRG1	NA	HGNC:7679	NA	NA
NEBL	NA	HGNC:16932	NA	NA
NEGR1	TSG	HGNC:17302	FALSE	TRUE
NF1	TSG	HGNC:7765	FALSE	TRUE
NF2	TSG	HGNC:7773	FALSE	TRUE
NFASC	NA	HGNC:29866	NA	NA
NFATC2	NA	HGNC:7776	NA	NA
NFE2L2	ONCO	HGNC:7782	TRUE	FALSE
NFIB	NA	HGNC:7785	NA	NA
NFKBIE	TSG	HGNC:7799	FALSE	TRUE
NIPBL	TSG	HGNC:28862	FALSE	TRUE
NONO	NA	HGNC:7871	NA	NA
NOS1AP	NA	HGNC:16859	NA	NA
NOTCH1	TSG	HGNC:7881	FALSE	TRUE
NOTCH2	TSG	HGNC:7882	FALSE	TRUE
NPM1	ONCO	HGNC:7910	TRUE	FALSE
NR4A3	NA	HGNC:7982	NA	NA
NRAS	ONCO	HGNC:7989	TRUE	FALSE
NRF1	NA	HGNC:7996	NA	NA
NRG1	TSG	HGNC:7997	FALSE	TRUE
NSD1	TSG	HGNC:14234	FALSE	TRUE
NSD2	NA	HGNC:12766	NA	NA
NSD3	NA	HGNC:12767	NA	NA
NT5C2	ONCO	HGNC:8022	TRUE	FALSE
NTHL1	TSG	HGNC:8028	FALSE	TRUE
NTRK1	ONCO	HGNC:8031	TRUE	FALSE
NTRK2	ONCO	HGNC:8032	TRUE	FALSE
NTRK3	ONCO	HGNC:8033	TRUE	FALSE
NUP214	NA	HGNC:8064	NA	NA
NUP98	NA	HGNC:8068	NA	NA
NUTM1	NA	HGNC:29919	NA	NA
NUTM2A	NA	HGNC:23438	NA	NA
NUTM2B	NA	HGNC:23445	NA	NA
OGA	NA	HGNC:7056	NA	NA
OMD	NA	HGNC:8134	NA	NA
OR11H1	ONCO	HGNC:15404	TRUE	FALSE
OR4F21	TSG	HGNC:19583	FALSE	TRUE
OR4N2	TSG	HGNC:14742	FALSE	TRUE
P2RY8	NA	HGNC:15524	NA	NA
PABPC1	ONCO	HGNC:8554	TRUE	FALSE
PALB2	TSG	HGNC:26144	FALSE	TRUE
PAPSS1	NA	HGNC:8603	NA	NA
PARD3	TSG	HGNC:16051	FALSE	TRUE
PARD3B	TSG	HGNC:14446	FALSE	TRUE
PARD6G	TSG	HGNC:16076	FALSE	TRUE
PATZ1	NA	HGNC:13071	NA	NA
PAX3	NA	HGNC:8617	NA	NA
PAX5	ONCO	HGNC:8619	TRUE	FALSE
PAX7	NA	HGNC:8621	NA	NA
PAX8	NA	HGNC:8622	NA	NA
PBRM1	TSG	HGNC:30064	FALSE	TRUE
PBX1	NA	HGNC:8632	NA	NA
PBX3	NA	HGNC:8634	NA	NA
PCM1	NA	HGNC:8727	NA	NA
PDE4D	TSG	HGNC:8783	FALSE	TRUE
PDGFB	NA	HGNC:8800	NA	NA
PDGFRA	ONCO	HGNC:8803	TRUE	FALSE
PDGFRB	ONCO	HGNC:8804	TRUE	FALSE
PDYN	ONCO	HGNC:8820	TRUE	FALSE
PHF1	NA	HGNC:8919	NA	NA
PHF23	NA	HGNC:28428	NA	NA
PHF6	TSG	HGNC:18145	FALSE	TRUE
