ensembl_gene_id	symbol	hgnc_id
ENSG00000178573	MAF	HGNC:6776
ENSG00000204103	MAFB	HGNC:6408
ENSG00000251562	MALAT1	HGNC:29665
ENSG00000172175	MALT1	HGNC:6819
ENSG00000184384	MAML2	HGNC:16259
ENSG00000169032	MAP2K1	HGNC:6840
ENSG00000126934	MAP2K2	HGNC:6842
ENSG00000065559	MAP2K4	HGNC:6844
ENSG00000095015	MAP3K1	HGNC:6848
ENSG00000073803	MAP3K13	HGNC:6852
ENSG00000100030	MAPK1	HGNC:6871
ENSG00000125952	MAX	HGNC:6913
ENSG00000180611	MB21D2	HGNC:30438
ENSG00000135679	MDM2	HGNC:6973
ENSG00000198625	MDM4	HGNC:6974
ENSG00000197880	MDS2	HGNC:29633
ENSG00000085276	MECOM	HGNC:3498
ENSG00000184634	MED12	HGNC:11957
ENSG00000133895	MEN1	HGNC:7010
ENSG00000105976	MET	HGNC:7029
ENSG00000170430	MGMT	HGNC:7059
ENSG00000187098	MITF	HGNC:7105
ENSG00000196588	MKL1	HGNC:14334
ENSG00000178053	MLF1	HGNC:7125
ENSG00000076242	MLH1	HGNC:7127
ENSG00000130382	MLLT1	HGNC:7134
ENSG00000078403	MLLT10	HGNC:16063
ENSG00000213190	MLLT11	HGNC:16997
ENSG00000171843	MLLT3	HGNC:7136
ENSG00000130396	MLLT4	HGNC:7137
ENSG00000108292	MLLT6	HGNC:7138
ENSG00000169184	MN1	HGNC:7180
ENSG00000130675	MNX1	HGNC:4979
ENSG00000117400	MPL	HGNC:7217
ENSG00000095002	MSH2	HGNC:7325
ENSG00000116062	MSH6	HGNC:7329
ENSG00000153944	MSI2	HGNC:18585
ENSG00000147065	MSN	HGNC:7373
ENSG00000214827	MTCP1	HGNC:7423
ENSG00000198793	MTOR	HGNC:3942
ENSG00000185499	MUC1	HGNC:7508
ENSG00000181143	MUC16	HGNC:15582
ENSG00000145113	MUC4	HGNC:7514
ENSG00000132781	MUTYH	HGNC:7527
ENSG00000118513	MYB	HGNC:7545
ENSG00000136997	MYC	HGNC:7553
ENSG00000116990	MYCL	HGNC:7555
ENSG00000134323	MYCN	HGNC:7559
ENSG00000172936	MYD88	HGNC:7562
ENSG00000133392	MYH11	HGNC:7569
ENSG00000100345	MYH9	HGNC:7579
ENSG00000197535	MYO5A	HGNC:7602
ENSG00000129152	MYOD1	HGNC:7611
ENSG00000078177	N4BP2	HGNC:29851
ENSG00000166886	NAB2	HGNC:7627
ENSG00000196531	NACA	HGNC:7629
ENSG00000172915	NBEA	HGNC:7648
ENSG00000104320	NBN	HGNC:7652
ENSG00000213672	NCKIPSD	HGNC:15486
ENSG00000084676	NCOA1	HGNC:7668
ENSG00000140396	NCOA2	HGNC:7669
ENSG00000138293	NCOA4	HGNC:7671
ENSG00000141027	NCOR1	HGNC:7672
ENSG00000196498	NCOR2	HGNC:7673
ENSG00000104419	NDRG1	HGNC:7679
ENSG00000196712	NF1	HGNC:7765
ENSG00000186575	NF2	HGNC:7773
ENSG00000101096	NFATC2	HGNC:7776
ENSG00000116044	NFE2L2	HGNC:7782
ENSG00000147862	NFIB	HGNC:7785
ENSG00000077150	NFKB2	HGNC:7795
ENSG00000146232	NFKBIE	HGNC:7799
ENSG00000100503	NIN	HGNC:14906
ENSG00000136352	NKX2-1	HGNC:11825
ENSG00000147140	NONO	HGNC:7871
ENSG00000148400	NOTCH1	HGNC:7881
ENSG00000134250	NOTCH2	HGNC:7882
ENSG00000181163	NPM1	HGNC:7910
ENSG00000119508	NR4A3	HGNC:7982
ENSG00000213281	NRAS	HGNC:7989
ENSG00000157168	NRG1	HGNC:7997
ENSG00000165671	NSD1	HGNC:14234
ENSG00000076685	NT5C2	HGNC:8022
ENSG00000065057	NTHL1	HGNC:8028
ENSG00000198400	NTRK1	HGNC:8031
ENSG00000140538	NTRK3	HGNC:8033
ENSG00000137497	NUMA1	HGNC:8059
ENSG00000126883	NUP214	HGNC:8064
ENSG00000110713	NUP98	HGNC:8068
ENSG00000184507	NUTM1	HGNC:29919
ENSG00000184923	NUTM2A	HGNC:23438
ENSG00000188199	NUTM2B	HGNC:23445
ENSG00000205927	OLIG2	HGNC:9398
ENSG00000127083	OMD	HGNC:8134
ENSG00000182162	P2RY8	HGNC:15524
ENSG00000070756	PABPC1	HGNC:8554
ENSG00000168092	PAFAH1B2	HGNC:8575
ENSG00000083093	PALB2	HGNC:26144
ENSG00000100105	PATZ1	HGNC:13071
ENSG00000135903	PAX3	HGNC:8617
ENSG00000196092	PAX5	HGNC:8619
ENSG00000009709	PAX7	HGNC:8621
ENSG00000125618	PAX8	HGNC:8622
ENSG00000163939	PBRM1	HGNC:30064
ENSG00000185630	PBX1	HGNC:8632
ENSG00000169564	PCBP1	HGNC:8647
ENSG00000078674	PCM1	HGNC:8727
ENSG00000197646	PDCD1LG2	HGNC:18731
ENSG00000178104	PDE4DIP	HGNC:15580
ENSG00000100311	PDGFB	HGNC:8800
ENSG00000134853	PDGFRA	HGNC:8803
ENSG00000113721	PDGFRB	HGNC:8804
ENSG00000179094	PER1	HGNC:8845
ENSG00000156531	PHF6	HGNC:18145
ENSG00000109132	PHOX2B	HGNC:9143
ENSG00000073921	PICALM	HGNC:15514
ENSG00000121879	PIK3CA	HGNC:8975
ENSG00000051382	PIK3CB	HGNC:8976
ENSG00000145675	PIK3R1	HGNC:8979
ENSG00000137193	PIM1	HGNC:8986
ENSG00000181690	PLAG1	HGNC:9045
ENSG00000124181	PLCG1	HGNC:9065
ENSG00000140464	PML	HGNC:9113
ENSG00000064933	PMS1	HGNC:9121
ENSG00000122512	PMS2	HGNC:9122
ENSG00000062822	POLD1	HGNC:9175
ENSG00000177084	POLE	HGNC:9177
ENSG00000140521	POLG	HGNC:9179
ENSG00000051341	POLQ	HGNC:9186
ENSG00000128513	POT1	HGNC:17284
ENSG00000110777	POU2AF1	HGNC:9211
ENSG00000204531	POU5F1	HGNC:9221
ENSG00000132170	PPARG	HGNC:9236
ENSG00000110841	PPFIBP1	HGNC:9249
ENSG00000170836	PPM1D	HGNC:9277
ENSG00000105568	PPP2R1A	HGNC:9302
ENSG00000119414	PPP6C	HGNC:9323
ENSG00000143294	PRCC	HGNC:9343
ENSG00000057657	PRDM1	HGNC:9346
ENSG00000142611	PRDM16	HGNC:14000
