symbol	ensembl_gene_id	hgnc_id	hgnc_ensembl_gene_id
MLH3	ENSG00000119684	HGNC:7128	ENSG00000119684
MN1	ENSG00000169184	HGNC:7180	ENSG00000169184
MPL	ENSG00000117400	HGNC:7217	ENSG00000117400
MRE11	ENSG00000020922	HGNC:7230	ENSG00000020922
MSH2	ENSG00000095002	HGNC:7325	ENSG00000095002
MSH3	ENSG00000113318	HGNC:7326	ENSG00000113318
MSH5	ENSG00000204410	HGNC:7328	ENSG00000204410
MSH6	ENSG00000116062	HGNC:7329	ENSG00000116062
MSR1	ENSG00000038945	HGNC:7376	ENSG00000038945
MTAP	ENSG00000099810	HGNC:7413	ENSG00000099810
MUC1	ENSG00000185499	HGNC:7508	ENSG00000185499
MUC5B	ENSG00000117983	HGNC:7516	ENSG00000117983
MUTYH	ENSG00000132781	HGNC:7527	ENSG00000132781
MYCN	ENSG00000134323	HGNC:7559	ENSG00000134323
NAF1	ENSG00000145414	HGNC:25126	ENSG00000145414
NBN	ENSG00000104320	HGNC:7652	ENSG00000104320
NCOA4	ENSG00000266412	HGNC:7671	ENSG00000266412
NDRG1	ENSG00000104419	HGNC:7679	ENSG00000104419
NDUFA13	ENSG00000186010	HGNC:17194	ENSG00000186010
NF1	ENSG00000196712	HGNC:7765	ENSG00000196712
NF2	ENSG00000186575	HGNC:7773	ENSG00000186575
NFIX	ENSG00000008441	HGNC:7788	ENSG00000008441
NHP2	ENSG00000145912	HGNC:14377	ENSG00000145912
NKX2-1	ENSG00000136352	HGNC:11825	ENSG00000136352
NOP10	ENSG00000182117	HGNC:14378	ENSG00000182117
NOTCH1	ENSG00000148400	HGNC:7881	ENSG00000148400
NOTCH3	ENSG00000074181	HGNC:7883	ENSG00000074181
NR4A3	ENSG00000119508	HGNC:7982	ENSG00000119508
NRAS	ENSG00000213281	HGNC:7989	ENSG00000213281
NSD1	ENSG00000165671	HGNC:14234	ENSG00000165671
NTHL1	ENSG00000065057	HGNC:8028	ENSG00000065057
NTRK1	ENSG00000198400	HGNC:8031	ENSG00000198400
NTRK3	ENSG00000140538	HGNC:8033	ENSG00000140538
NYNRIN	ENSG00000205978	HGNC:20165	ENSG00000205978
OGG1	ENSG00000114026	HGNC:8125	ENSG00000114026
PALB2	ENSG00000083093	HGNC:26144	ENSG00000083093
PARN	ENSG00000140694	HGNC:8609	ENSG00000140694
PAX3	ENSG00000135903	HGNC:8617	ENSG00000135903
PAX5	ENSG00000196092	HGNC:8619	ENSG00000196092
PAX6	ENSG00000007372	HGNC:8620	ENSG00000007372
PAX7	ENSG00000009709	HGNC:8621	ENSG00000009709
PBRM1	ENSG00000163939	HGNC:30064	ENSG00000163939
PDGFRA	ENSG00000134853	HGNC:8803	ENSG00000134853
PDGFRB	ENSG00000113721	HGNC:8804	ENSG00000113721
PHF6	ENSG00000156531	HGNC:18145	ENSG00000156531
PHOX2B	ENSG00000109132	HGNC:9143	ENSG00000109132
PIK3CA	ENSG00000121879	HGNC:8975	ENSG00000121879
PINK1	ENSG00000158828	HGNC:14581	ENSG00000158828
PML	ENSG00000140464	HGNC:9113	ENSG00000140464
PMS1	ENSG00000064933	HGNC:9121	ENSG00000064933
PMS2	ENSG00000122512	HGNC:9122	ENSG00000122512
POLA1	ENSG00000101868	HGNC:9173	ENSG00000101868
POLD1	ENSG00000062822	HGNC:9175	ENSG00000062822
POLE	ENSG00000177084	HGNC:9177	ENSG00000177084
POLH	ENSG00000170734	HGNC:9181	ENSG00000170734
POLQ	ENSG00000051341	HGNC:9186	ENSG00000051341
PORCN	ENSG00000102312	HGNC:17652	ENSG00000102312
POT1	ENSG00000128513	HGNC:17284	ENSG00000128513
