HugoSymbol	RoleInCancer	Kinase_PPtase	TF	Location	oncogene	tsgene	hgnc_id
DNMT3A	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:2978
DROSHA	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:17904
DUX4L1	Other	Other	Other	Other	FALSE	FALSE	HGNC:3082
EBF1	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3126
ECT2L	Other	Other	Other	Other	FALSE	FALSE	HGNC:21118
EED	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3188
EGFR	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:3236
EIF1AX	Other	Other	Other	Other	FALSE	FALSE	HGNC:3250
EIF3E	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:3277
EIF3E	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3277
EIF4A2	Other	Other	Other	Other	FALSE	FALSE	HGNC:3284
ELF3	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3318
ELF4	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3319
ELF4	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3319
ELK4	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3326
ELL	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:23114
ELL	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:23114
ELN	Other	Other	Other	Other	FALSE	FALSE	HGNC:3327
EML4	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1316
EP300	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3373
EPAS1	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:3374
EPAS1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3374
EPHA3	TSGs	Kinases	Other	Receptors	FALSE	TRUE	HGNC:3387
EPHA7	Other	Other	Other	Receptors	FALSE	FALSE	HGNC:3390
EPS15	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:3419
EPS15	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3419
ERBB2	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:3430
ERBB3	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:3431
ERBB4	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:3432
ERBB4	TSGs	Kinases	Other	Receptors	FALSE	TRUE	HGNC:3432
ERC1	Other	Other	Other	Other	FALSE	FALSE	HGNC:17072
ERCC2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3434
ERCC3	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3435
ERCC4	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3436
ERCC5	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3437
ERG	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3446
ESR1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3467
ESR1	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3467
ETNK1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:24649
ETV1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3490
ETV4	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3493
ETV5	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:3494
ETV6	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3495
ETV6	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3495
EWSR1	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:3508
EXT1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3512
EXT2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3513
EZH2	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3527
EZH2	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3527
EZR	Other	Other	Other	Other	FALSE	FALSE	HGNC:12691
FAM131B	Other	Other	Other	Other	FALSE	FALSE	HGNC:22202
FAM135B	Other	Other	Other	Other	FALSE	FALSE	HGNC:28029
FAM47C	Other	Other	Other	Other	FALSE	FALSE	HGNC:25301
FANCA	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3582
FANCC	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3584
FANCD2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3585
FANCE	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3586
FANCF	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3587
FANCG	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3588
FAS	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:11920
FAT1	TSGs	Other	Other	Receptors	FALSE	TRUE	HGNC:3595
FAT3	TSGs	Other	Other	Receptors	FALSE	TRUE	HGNC:23112
FAT4	TSGs	Other	Other	Receptors	FALSE	TRUE	HGNC:23109
FBLN2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3601
FBXO11	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:13590
FBXW7	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:16712
FCGR2B	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:3618
FCRL4	Oncogenes	Other	Other	Receptors	TRUE	FALSE	HGNC:18507
FEN1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3650
FES	Oncogenes	Kinases	Other	Other	TRUE	FALSE	HGNC:3657
FES	TSGs	Kinases	Other	Other	FALSE	TRUE	HGNC:3657
FEV	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:18562
FGFR1	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:3688
FGFR1OP	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:17012
FGFR2	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:3689
FGFR3	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:3690
FGFR4	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:3691
FH	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3700
FHIT	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3701
FIP1L1	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:19124
FKBP9	Other	Other	Other	Other	FALSE	FALSE	HGNC:3725
FLCN	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:27310
FLI1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3749
FLNA	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3754
FLT3	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:3765
FLT3	TSGs	Kinases	Other	Receptors	FALSE	TRUE	HGNC:3765
FLT4	Oncogenes	Kinases	Other	Other	TRUE	FALSE	HGNC:3767
FNBP1	Other	Other	Other	Other	FALSE	FALSE	HGNC:17069
FOXA1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:5021
FOXA1	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:5021
FOXL2	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:1092
FOXL2	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:1092
FOXO1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3819
FOXO1	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3819
FOXO3	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3821
FOXO3	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3821
FOXO4	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:7139
FOXO4	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:7139
FOXP1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3823
FOXP1	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3823
FOXR1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:29980
FSTL3	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:3973
FUBP1	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:4004
FUS	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:4010
FUS	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:4010
GAS7	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:4169
GATA1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:4170
GATA1	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:4170
GATA2	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:4171
GATA3	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:4172
GATA3	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:4172
GLI1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:4317
GLI1	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:4317
GMPS	Other	Other	Other	Other	FALSE	FALSE	HGNC:4378
GNA11	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:4379
GNAQ	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:4390
GNAS	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:4392
GOLGA5	Other	Other	Other	Other	FALSE	FALSE	HGNC:4428
GOPC	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:17643
GPC3	Oncogenes	Other	Other	Receptors	TRUE	FALSE	HGNC:4451
GPC3	TSGs	Other	Other	Receptors	FALSE	TRUE	HGNC:4451
GPC5	TSGs	Other	Other	Receptors	FALSE	TRUE	HGNC:4453
GPHN	Other	Other	Other	Other	FALSE	FALSE	HGNC:15465
GRIN2A	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:4585
GRM3	Oncogenes	Other	Other	Receptors	TRUE	FALSE	HGNC:4595
H3F3A	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:4764
H3F3B	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:4765
HERPUD1	Other	Other	Other	Other	FALSE	FALSE	HGNC:13744
HEY1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:4880
HIF1A	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:4910
HIF1A	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:4910
HIP1	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:4913
HIST1H3B	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:4776
HIST1H4I	Other	Other	Other	Other	FALSE	FALSE	HGNC:4793
HLF	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:4977
